Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
233,8.4250,9.0250,-1.594179,8.4250,10.00
234,7.7625,9.0250,-1.968468,7.7625,5.00
235,8.1250,9.0250,-1.889793,8.1250,10.00
236,8.0375,9.0250,-1.833212,8.0375,7.50
237,8.8750,9.0250,-1.304550,8.8750,7.50
238,8.3250,9.0250,-1.886088,8.3250,7.50
239,8.1250,9.0250,-1.655206,8.1250,7.50
240,7.5250,9.0250,-1.486531,7.5250,10.00
241,8.8125,9.0250,-1.732196,8.8125,2.50
242,8.4625,9.0250,-1.870663,8.4625,12.50
243,8.5500,9.0250,-1.584737,8.5500,10.00
244,8.8250,9.0250,-1.334412,8.8250,2.50
245,8.5250,9.0250,-1.595048,8.5250,7.50
246,8.2875,9.0250,-1.715216,8.2875,2.50
247,8.8875,9.0250,-1.607261,8.8875,2.50
248,8.8000,9.0250,-1.534559,8.8000,0.00
249,7.8000,9.0250,-1.781132,7.8000,5.00
250,8.5000,9.0250,-1.185662,8.5000,2.50
251,8.6000,9.0250,-1.527207,8.6000,2.50
252,8.2750,9.0250,-1.739785,8.2750,7.50
253,8.4000,9.0250,-1.272856,8.4000,7.50
254,8.0500,9.0250,-1.517043,8.0500,7.50
255,7.6000,9.0250,-1.375655,7.6000,10.00
256,8.1375,9.0250,-1.418756,8.1375,10.00
257,8.4500,9.0250,-1.188536,8.4500,2.50
258,8.2625,9.0250,-1.566333,8.2625,2.50
259,8.7125,9.0250,-1.297619,8.7125,2.50
260,7.7125,9.0250,-1.158921,7.7125,17.50
261,8.3375,9.0250,-1.349046,8.3375,7.50
262,8.7875,9.0250,-1.225640,8.7875,2.50
263,8.7625,9.0250,-1.391229,8.7625,7.50
264,7.8500,9.0250,-1.791679,7.8500,2.50
265,7.9250,9.0250,-1.350961,7.9250,2.50
266,8.5750,9.0250,-1.318986,8.5750,2.50
267,8.3125,9.0250,-1.485710,8.3125,10.00
268,8.2500,9.0250,-1.651424,8.2500,7.50
269,7.5375,9.0250,-1.671901,7.5375,10.00
270,8.8000,9.0250,-1.525699,8.8000,2.50
271,8.3250,9.0250,-1.803570,8.3250,0.00
272,8.6250,9.0250,-1.781155,8.6250,2.50
273,8.6375,9.0250,-1.508631,8.6375,2.50
274,8.0375,9.0250,-1.839451,8.0375,2.50
275,8.1500,9.0250,-1.761392,8.1500,0.00
276,8.7875,9.0250,-1.581207,8.7875,5.00
277,8.4250,9.0250,-1.796024,8.4250,5.00
278,8.9000,9.0250,-1.623649,8.9000,5.00
279,8.3000,9.0250,-1.892172,8.3000,2.50
280,8.8250,9.0250,-1.576970,8.8250,0.00
281,8.7250,9.0250,-1.657435,8.7250,0.00
282,8.6625,9.0250,-1.798992,8.6625,5.00
283,8.6250,9.0250,-1.766898,8.6250,2.50
284,8.8625,9.0250,-1.777672,8.8625,5.00
285,9.1750,9.1750,-1.681099,9.1750,5.00
286,9.0000,9.1750,-1.728741,9.0000,5.00
287,8.7500,9.1750,-1.922881,8.7500,0.00
288,8.5375,9.1750,-1.765209,8.5375,2.50
289,8.8250,9.1750,-1.650502,8.8250,5.00
290,8.7125,9.1750,-1.580438,8.7125,2.50
291,8.7500,9.1750,-1.845442,8.7500,2.50
292,8.6500,9.1750,-1.819052,8.6500,0.00
293,8.5000,9.1750,-1.768051,8.5000,10.00
294,8.7875,9.1750,-1.670056,8.7875,0.00
295,8.9500,9.1750,-1.735932,8.9500,2.50
296,8.6125,9.1750,-1.599266,8.6125,5.00
297,8.6625,9.1750,-1.665753,8.6625,7.50
298,8.5125,9.1750,-1.764947,8.5125,2.50
299,8.6750,9.1750,-1.703260,8.6750,5.00
300,9.0625,9.1750,-1.085201,9.0625,5.00
301,8.8000,9.1750,-1.269027,8.8000,10.00
302,8.9500,9.1750,-1.248471,8.9500,7.50
303,8.5250,9.1750,-1.472430,8.5250,7.50
304,8.3625,9.1750,-1.402606,8.3625,10.00
305,8.9250,9.1750,-1.153048,8.9250,2.50
306,8.9000,9.1750,-1.375348,8.9000,5.00
307,8.5500,9.1750,-1.527900,8.5500,7.50
308,8.8875,9.1750,-1.234716,8.8875,5.00
309,8.4875,9.1750,-1.116287,8.4875,12.50
310,8.5375,9.1750,-1.283198,8.5375,5.00
311,8.7500,9.1750,-1.522625,8.7500,7.50
312,8.9000,9.1750,-1.213071,8.9000,2.50
313,8.7500,9.1750,-1.413733,8.7500,10.00
314,8.6125,9.1750,-1.295904,8.6125,5.00
315,8.8875,9.1750,-1.306957,8.8875,7.50
316,8.4500,9.1750,-1.039868,8.4500,5.00
317,8.6000,9.1750,-1.110168,8.6000,5.00
318,8.8875,9.1750,-1.060630,8.8875,2.50
319,8.4500,9.1750,-1.231697,8.4500,10.00
320,9.0500,9.1750,-1.150979,9.0500,2.50
321,9.2125,9.2125,-1.510292,9.2125,0.00
322,8.7000,9.2125,-1.689652,8.7000,7.50
323,8.9125,9.2125,-1.577678,8.9125,2.50
324,8.6625,9.2125,-1.419645,8.6625,2.50
325,9.0750,9.2125,-1.539079,9.0750,5.00
326,8.9875,9.2125,-1.682488,8.9875,0.00
327,8.9375,9.2125,-1.672770,8.9375,5.00
328,8.5000,9.2125,-1.643950,8.5000,2.50
329,8.4500,9.2125,-1.821972,8.4500,2.50
330,9.2500,9.2500,-1.683798,9.2500,0.00
331,8.9875,9.2500,-1.715792,8.9875,2.50
332,8.4500,9.2500,-1.850687,8.4500,0.00
333,8.7625,9.2500,-1.601743,8.7625,2.50
334,8.4500,9.2500,-1.734468,8.4500,2.50
335,8.6125,9.2500,-1.809754,8.6125,2.50
336,8.5375,9.2500,-1.994392,8.5375,0.00
337,9.1375,9.2500,-1.749697,9.1375,2.50
338,8.4250,9.2500,-1.744976,8.4250,2.50
339,8.3750,9.2500,-1.752515,8.3750,0.00
340,7.9500,9.2500,-1.735171,7.9500,7.50
341,8.5750,9.2500,-1.562060,8.5750,7.50
342,8.2625,9.2500,-1.814440,8.2625,7.50
343,8.8000,9.2500,-1.723798,8.8000,2.50
344,8.8875,9.2500,-1.687414,8.8875,2.50
345,8.5000,9.2500,-1.814007,8.5000,5.00
346,9.0125,9.2500,-1.514004,9.0125,2.50
347,8.7375,9.2500,-1.564150,8.7375,2.50
348,8.7625,9.2500,-1.645023,8.7625,5.00
349,8.6250,9.2500,-1.397747,8.6250,2.50
350,9.0000,9.2500,-1.490005,9.0000,2.50
351,8.6875,9.2500,-1.617160,8.6875,2.50
352,8.6625,9.2500,-1.704495,8.6625,5.00
353,8.6500,9.2500,-1.457800,8.6500,10.00
354,9.0250,9.2500,-1.577492,9.0250,5.00
